white_elo,black_elo,result,time_control,opening_moves
1674,1491,black,0+1,g3 e6 Bg2 d5 b3 c6 Bb2 Qc7 f4 f6
1409,1494,white,0+1,e4 b6 d4 Bb7 g3 Bxe4 Nf3 Bb7 Bg2 f6
1475,1656,black,120+4,e4 e5 Bc4 Bc5 Nf3 Nf6 Nxe5 Nxe4 O-O d5
1838,1739,white,60+0,d4 Nf6 c4 c5 Nc3 cxd4 Qxd4 Nc6 Qd1 g6
1540,1394,black,480+5,e4 d5 e5 c5 Nf3 Nc6 d4 c4 b3 b5
1462,1340,black,300+10,e4 c5 d4 cxd4 c3 dxc3 Bc4 e6 Nxc3 Nc6
2082,2093,white,120+0,d4 Nf6 c4 c5 d5 e6 Nc3 b5 cxb5 Bb7
1351,1419,black,360+0,d4 d5 c4 dxc4 e4 e5 Bxc4 exd4 Nf3 Be6
1653,1781,white,300+8,e4 d6 d3 Nf6 Nc3 c5 Bg5 g6 Nf3 Bg7
1460,1582,white,240+0,Nf3 Nc6 e3 e6 Bb5 a6 Bxc6 dxc6 Nc3 Nf6
1704,1636,draw,1200+5,g3 Nf6 Bg2 e6 Nf3 d5 a4 Nc6 c3 Bd6
1836,1234,white,300+15,e4 e5 Nf3 Bc5 Bc4 Nf6 Nxe5 O-O d4 Bb4+
1424,1419,white,0+1,e4 d6 d4 Bd7 g3 Qc8 Bg2 h6 Nf3 h5
1450,1152,white,300+0,e4 c5 Nf3 d6 Bc4 Be6 Bxe6 fxe6 O-O e5
1754,1521,white,120+2,e4 e6 e5 Nc6 d4 Nge7 Bg5 h6 Bh4 g5
1447,1394,white,0+1,e4 d6 g3 Bd7 Bg2 Qc8 Nf3 Kd8 O-O Be8
1731,1846,black,60+0,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 d6 d4 exd4
1556,1643,white,120+0,d4 d6 c4 e6 Nc3 Nf6 e4 Be7 Bg5 O-O
1370,1283,white,300+0,e4 e5 Nf3 c5 Bc4 d6 O-O Bg4 Nc3 Qf6
1531,1584,black,300+1,e4 e6 d4 d5 Nc3 Bb4 Bd3 Nf6 e5 Nfd7
1446,1524,white,480+5,c4 e5 e3 d5 cxd5 Qxd5 Nc3 Qd8 Nf3 Nc6
1381,1361,white,300+5,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6
1174,1414,black,120+0,d4 d5 Qd3 c6 e4 Nf6 e5 Nfd7 Be2 e6
1602,1618,black,300+5,d4 d5 c4 Bf5 Nc3 e6 e3 c6 Nf3 h6
1595,1534,black,300+1,d4 d5 c4 c6 Nc3 e6 e3 a6 Nf3 Bd6
1274,1479,black,0+1,e4 g6 Nf3 Bg7 Bc4 b6 c3 e6 d4 Ba6
1268,1485,black,0+1,e4 e6 Nf3 Qf6 d3 Qd8 Be2 d6 O-O e5
1484,1501,black,600+0,e4 e5 Nf3 Qf6 Be2 g5 c3 Bc5 d4 exd4
1392,1290,black,180+6,e3 d5 d4 Nf6 c4 e6 cxd5 Nxd5 Bc4 Bb4+
1854,1723,white,60+0,d4 Nf6 c4 c5 d5 b5 Nc3 b4 Nb1 d6
2095,1491,white,120+0,d4 g6 e4 Bg7 f4 b6 Nf3 Bb7 Nc3 a6
1776,1559,white,180+2,d4 e6 c4 d5 Nc3 dxc4 e4 c6 Bxc4 b5
1274,1240,black,360+0,e4 e5 b3 g6 Bb2 Bg7 f4 d6 fxe5 dxe5
1808,1901,black,120+12,b3 c6 Bb2 Nf6 e3 d5 f4 Bf5 Nf3 Nbd7
